benchmark_parent_label,first_date,n_variant,n_row_sum,n_row_min,n_row_max,n_row_mean,n_unique_paper_sum,n_paper_min,n_paper_max,n_paper_mean,n_tasks,tasks,url
LRW,2017-03-12,2,18,5,13,9.0,15,3.0,12.0,7.5,5,"{'Lip Reading', 'Talking Face Generation', 'Lip to Speech Synthesis', 'Lipreading', 'Unconstrained Lip-synchronization'}",https://paperswithcode.com/dataset/lrw
Total-Text,2017-04-11,1,16,16,16,16.0,15,15.0,15.0,15.0,1,{'Scene Text Detection'},https://paperswithcode.com/dataset/total-text
York Urban Line Segment Database,2016-04-07,1,15,15,15,15.0,15,15.0,15.0,15.0,2,"{'Horizon Line Estimation', 'Line Segment Detection'}",https://paperswithcode.com/dataset/york-urban-line-segment-database
DeepFashion,2017-05-25,2,16,5,11,8.0,15,4.0,11.0,7.5,5,"{'Virtual Try-on', 'Image Retrieval', 'Pose Transfer', 'Consumer-to-shop - Image Retrieval', 'Image-to-Image Translation'}",https://paperswithcode.com/dataset/deepfashion
MPI Sintel,2016-11-03,4,28,1,13,7.0,15,1.0,12.0,6.5,1,{'Optical Flow Estimation'},https://paperswithcode.com/dataset/mpi-sintel
CLEVR,2017-05-10,1,19,19,19,19.0,15,15.0,15.0,15.0,2,"{'Visual Question Answering', 'Image Generation'}",https://paperswithcode.com/dataset/clevr
ShapeNet,2017-06-07,4,22,3,11,5.5,14,3.0,10.0,5.25,6,"{'Point Cloud Generation', 'Novel View Synthesis', 'Point Cloud Completion', 'Semantic Segmentation', '3D Reconstruction', 'Single-View 3D Reconstruction'}",https://paperswithcode.com/dataset/shapenet
CULane,2017-12-17,1,23,23,23,23.0,14,14.0,14.0,14.0,1,{'Lane Detection'},https://paperswithcode.com/dataset/culane
Food-101,2017-11-20,2,16,3,13,8.0,13,3.0,10.0,6.5,3,"{'Image Classification', 'Image Compression', 'Fine-Grained Image Classification'}",https://paperswithcode.com/dataset/food-101
Kuzushiji-MNIST,2016-03-16,1,22,22,22,22.0,13,13.0,13.0,13.0,2,"{'Image Classification', 'Fine-Grained Image Classification'}",https://paperswithcode.com/dataset/kuzushiji-mnist
A2D Sentences,2016-03-20,1,15,15,15,15.0,13,13.0,13.0,13.0,1,{'Referring Expression Segmentation'},https://paperswithcode.com/dataset/a2d-sentences
WorldExpo’10,2015-06-01,1,14,14,14,14.0,13,13.0,13.0,13.0,1,{'Crowd Counting'},
LSP,2014-07-12,1,13,13,13,13.0,13,13.0,13.0,13.0,1,{'Pose Estimation'},https://paperswithcode.com/dataset/lsp
Semantic3D,2016-03-07,1,15,15,15,15.0,13,13.0,13.0,13.0,1,{'Semantic Segmentation'},https://paperswithcode.com/dataset/semantic3d
ETH,2018-03-29,1,13,13,13,13.0,13,13.0,13.0,13.0,1,{'Trajectory Prediction'},https://paperswithcode.com/dataset/eth
3DMatch,2009-05-12,1,15,15,15,15.0,13,13.0,13.0,13.0,3,"{'3D Feature Matching', 'Point Cloud Registration', 'Low-Light Image Enhancement'}",https://paperswithcode.com/dataset/3dmatch
VisDA-2017,2016-05-21,1,14,14,14,14.0,13,13.0,13.0,13.0,3,"{'Domain Adaptation', 'Partial Domain Adaptation', 'Unsupervised Domain Adaptation'}",https://paperswithcode.com/dataset/visda-2017
FBMS,2014-06-01,2,18,4,14,9.0,13,4.0,9.0,6.5,3,"{'Unsupervised Video Object Segmentation', 'Video Salient Object Detection', 'Video Object Segmentation'}",https://paperswithcode.com/dataset/fbms
ImageCLEF-DA,2015-02-10,1,14,14,14,14.0,13,13.0,13.0,13.0,1,{'Domain Adaptation'},https://paperswithcode.com/dataset/imageclef-da
DRIVE,2015-05-18,1,15,15,15,15.0,13,13.0,13.0,13.0,2,"{'Medical Image Segmentation', 'Retinal Vessel Segmentation'}",https://paperswithcode.com/dataset/drive
SIP,2019-06-01,1,13,13,13,13.0,12,12.0,12.0,12.0,1,{'RGB-D Salient Object Detection'},https://paperswithcode.com/dataset/sip
Mini-ImageNet,2018-06-07,1,14,14,14,14.0,12,12.0,12.0,12.0,1,{'1-Shot Learning - Few-Shot Image Classification'},
ICDAR2015,2017-11-12,1,12,12,12,12.0,12,12.0,12.0,12.0,2,"{'Scene Text Recognition', 'Multi-Oriented Scene Text Detection'}",
GTSRB,2012-02-13,3,14,4,6,4.666666666666667,12,4.0,5.0,4.333333333333333,2,"{'Traffic Sign Recognition', 'Domain Adaptation'}",https://paperswithcode.com/dataset/gtsrb
MSVD,2017-04-14,2,13,6,7,6.5,12,6.0,7.0,6.5,3,"{'Visual Question Answering', 'Video Retrieval', 'Video Captioning'}",https://paperswithcode.com/dataset/msvd
PoseTrack,2017-10-27,2,19,6,13,9.5,12,5.0,11.0,8.0,3,"{'Multi-Person Pose Estimation', 'Multi-Person Pose Estimation and Tracking', 'Pose Tracking'}",https://paperswithcode.com/dataset/posetrack
UAV-Human,2015-12-10,1,13,13,13,13.0,12,12.0,12.0,12.0,4,"{'Pedestrian Attribute Recognition', 'Person Re-Identification', 'Skeleton Based Action Recognition', 'Pose Estimation'}",https://paperswithcode.com/dataset/uav-human
Kvasir,2015-05-18,1,17,17,17,17.0,12,12.0,12.0,12.0,2,"{'Medical Image Segmentation', 'Polyp Segmentation'}",https://paperswithcode.com/dataset/kvasir
YouTubeVIS,2017-03-21,1,16,16,16,16.0,12,12.0,12.0,12.0,1,{'Video Instance Segmentation'},https://paperswithcode.com/dataset/youtubevis
Darmstadt Noise Dataset,2015-08-12,1,15,15,15,15.0,12,12.0,12.0,12.0,2,"{'Denoising', 'Color Image Denoising'}",https://paperswithcode.com/dataset/darmstadt-noise-dataset
PASCAL-5i (1-Shot),2018-10-22,1,13,13,13,13.0,12,12.0,12.0,12.0,1,{'Few-Shot Semantic Segmentation'},
UCF-QNRF,2013-06-01,1,13,13,13,13.0,12,12.0,12.0,12.0,1,{'Crowd Counting'},https://paperswithcode.com/dataset/ucf-qnrf
PASCAL-5i (5-Shot),2018-10-22,1,13,13,13,13.0,12,12.0,12.0,12.0,1,{'Few-Shot Semantic Segmentation'},
Wireframe,2017-07-01,1,12,12,12,12.0,11,11.0,11.0,11.0,1,{'Line Segment Detection'},https://paperswithcode.com/dataset/wireframe
BIWI,2015-11-23,1,13,13,13,13.0,11,11.0,11.0,11.0,1,{'Head Pose Estimation'},https://paperswithcode.com/dataset/biwi
QM9,2017-02-17,1,14,14,14,14.0,11,11.0,11.0,11.0,1,{'Formation Energy'},https://paperswithcode.com/dataset/qm9
LSMDC,2016-10-10,1,12,12,12,12.0,11,11.0,11.0,11.0,1,{'Video Retrieval'},https://paperswithcode.com/dataset/lsmdc
Mapillary Vistas Dataset,2018-09-06,1,11,11,11,11.0,11,11.0,11.0,11.0,3,"{'Semantic Segmentation', 'Visual Place Recognition', 'Panoptic Segmentation'}",https://paperswithcode.com/dataset/mapillary-vistas-dataset
Shelf,2014-06-01,1,11,11,11,11.0,11,11.0,11.0,11.0,1,{'3D Multi-Person Pose Estimation'},
SOP,2016-11-17,1,11,11,11,11.0,11,11.0,11.0,11.0,2,"{'Fine-Grained Image Classification', 'Image Retrieval'}",
CHASE_DB1,2015-05-18,1,11,11,11,11.0,11,11.0,11.0,11.0,2,"{'Medical Image Segmentation', 'Retinal Vessel Segmentation'}",https://paperswithcode.com/dataset/chase-db1
OTB,2016-06-30,3,19,4,8,6.333333333333333,11,4.0,8.0,6.333333333333333,1,{'Visual Object Tracking'},https://paperswithcode.com/dataset/otb
CityPersons,2017-02-19,1,14,14,14,14.0,11,11.0,11.0,11.0,1,{'Pedestrian Detection'},https://paperswithcode.com/dataset/citypersons
HumanEva-I,2010-03-01,1,11,11,11,11.0,11,11.0,11.0,11.0,1,{'3D Human Pose Estimation'},
SegTrack-v2,2015-06-01,1,11,11,11,11.0,11,11.0,11.0,11.0,3,"{'Unsupervised Video Object Segmentation', 'Video Salient Object Detection', 'Video Segmentation'}",https://paperswithcode.com/dataset/segtrack-v2-1
Data3D−R2N2,2016-04-02,1,17,17,17,17.0,11,11.0,11.0,11.0,2,"{'3D Reconstruction', '3D Object Reconstruction'}",
Moments in Time,2017-05-08,2,26,6,20,13.0,11,2.0,10.0,6.0,2,"{'Multimodal Activity Recognition', 'Action Classification'}",https://paperswithcode.com/dataset/moments-in-time
CBSD68,2016-08-13,15,35,1,9,2.3333333333333335,11,1.0,9.0,2.3333333333333335,1,{'Color Image Denoising'},https://paperswithcode.com/dataset/cbsd68
SIDD,2018-07-12,1,11,11,11,11.0,11,11.0,11.0,11.0,1,{'Image Denoising'},https://paperswithcode.com/dataset/sidd
Meta-Dataset,2016-06-13,2,27,13,14,13.5,11,10.0,11.0,10.5,1,{'Few-Shot Image Classification'},https://paperswithcode.com/dataset/meta-dataset
MPII,2016-05-10,2,21,3,18,10.5,11,3.0,9.0,6.0,3,"{'Multi-Person Pose Estimation', 'Keypoint Detection', 'Pose Estimation'}",https://paperswithcode.com/dataset/mpii
NLPR,2019-06-01,1,12,12,12,12.0,11,11.0,11.0,11.0,1,{'RGB-D Salient Object Detection'},https://paperswithcode.com/dataset/nlpr
Adience,2015-10-26,4,20,1,11,5.0,11,1.0,9.0,3.75,3,"{'Face Recognition', 'Age And Gender Classification', 'Face Quality Assessement'}",https://paperswithcode.com/dataset/adience
MuPoTS-3D,2017-07-01,1,18,18,18,18.0,11,11.0,11.0,11.0,3,"{'3D Multi-Person Pose Estimation', '3D Multi-Person Pose Estimation (root-relative)', '3D Multi-Person Pose Estimation (absolute)'}",https://paperswithcode.com/dataset/mupots-3d
CVC-ClinicDB,2015-05-18,1,15,15,15,15.0,11,11.0,11.0,11.0,1,{'Medical Image Segmentation'},https://paperswithcode.com/dataset/cvc-clinicdb
Kumar,2014-11-14,1,17,17,17,17.0,11,11.0,11.0,11.0,1,{'Multi-tissue Nucleus Segmentation'},https://paperswithcode.com/dataset/kumar
WFLW,2015-06-07,1,11,11,11,11.0,11,11.0,11.0,11.0,1,{'Face Alignment'},https://paperswithcode.com/dataset/wflw
Vimeo90k,2017-08-05,1,13,13,13,13.0,11,11.0,11.0,11.0,2,"{'Video Super-Resolution', 'Video Frame Interpolation'}",
SCUT-CTW1500,2015-05-17,1,14,14,14,14.0,11,11.0,11.0,11.0,2,"{'Curved Text Detection', 'Scene Text Detection'}",https://paperswithcode.com/dataset/scut-ctw1500
PACS,2019-03-16,1,13,13,13,13.0,10,10.0,10.0,10.0,1,{'Domain Generalization'},https://paperswithcode.com/dataset/pacs
MegaFace,2015-03-12,1,19,19,19,19.0,10,10.0,10.0,10.0,3,"{'Disguised Face Verification', 'Face Verification', 'Face Identification'}",https://paperswithcode.com/dataset/megaface
FDDB,2014-08-06,1,10,10,10,10.0,10,10.0,10.0,10.0,1,{'Face Detection'},https://paperswithcode.com/dataset/fddb
FC100,2018-05-23,3,25,1,12,8.333333333333334,10,1.0,10.0,7.0,1,{'Few-Shot Image Classification'},https://paperswithcode.com/dataset/fc100
STERE,2019-06-01,1,11,11,11,11.0,10,10.0,10.0,10.0,1,{'RGB-D Salient Object Detection'},
TVSum,2017-08-31,1,17,17,17,17.0,10,10.0,10.0,10.0,3,"{'Supervised Video Summarization', 'Video Summarization', 'Unsupervised Video Summarization'}",https://paperswithcode.com/dataset/tvsum-1
In-Shop,2018-04-02,1,11,11,11,11.0,10,10.0,10.0,10.0,2,"{'Metric Learning', 'Image Retrieval'}",
ICDAR 2017,2018-01-05,1,14,14,14,14.0,10,10.0,10.0,10.0,1,{'Scene Text Detection'},https://paperswithcode.com/dataset/icdar-2017
MSRA-TD500,2017-03-19,1,10,10,10,10.0,10,10.0,10.0,10.0,1,{'Scene Text Detection'},https://paperswithcode.com/dataset/msra-td500
TrackingNet,2015-12-04,1,10,10,10,10.0,10,10.0,10.0,10.0,1,{'Visual Object Tracking'},https://paperswithcode.com/dataset/trackingnet
MS-COCO (30-shot),2018-03-05,1,12,12,12,12.0,10,10.0,10.0,10.0,1,{'Few-Shot Object Detection'},
Real Blur Dataset,2013-06-01,4,26,3,10,6.5,10,3.0,10.0,6.5,1,{'Deblurring'},https://paperswithcode.com/dataset/real-blur-dataset
SumMe,2017-08-31,1,17,17,17,17.0,10,10.0,10.0,10.0,3,"{'Supervised Video Summarization', 'Video Summarization', 'Unsupervised Video Summarization'}",https://paperswithcode.com/dataset/summe
PRID2011,2017-09-27,1,11,11,11,11.0,10,10.0,10.0,10.0,1,{'Person Re-Identification'},https://paperswithcode.com/dataset/prid2011
DND,2018-07-12,1,10,10,10,10.0,10,10.0,10.0,10.0,1,{'Image Denoising'},https://paperswithcode.com/dataset/dnd
Multi30K,2017-01-23,1,11,11,11,11.0,10,10.0,10.0,10.0,1,{'Multimodal Machine Translation'},
LIVE1,2015-04-27,7,42,1,10,6.0,10,1.0,10.0,6.0,1,{'JPEG Artifact Correction'},https://paperswithcode.com/dataset/live1
V-COCO,2018-08-23,1,11,11,11,11.0,10,10.0,10.0,10.0,1,{'Human-Object Interaction Detection'},https://paperswithcode.com/dataset/v-coco
SHREC,2018-01-21,6,14,1,6,2.3333333333333335,10,1.0,5.0,2.1666666666666665,4,"{'Hand Gesture Recognition', '3D Object Recognition', 'Point Cloud Super Resolution', 'Skeleton Based Action Recognition'}",https://paperswithcode.com/dataset/shrec
NYU Hand,2017-02-08,1,10,10,10,10.0,10,10.0,10.0,10.0,1,{'Hand Pose Estimation'},https://paperswithcode.com/dataset/nyu-hand
ICVL Hands,2017-02-08,1,10,10,10,10.0,10,10.0,10.0,10.0,1,{'Hand Pose Estimation'},
Pavia University,2016-12-01,1,10,10,10,10.0,9,9.0,9.0,9.0,2,"{'Classification Of Hyperspectral Images', 'Hyperspectral Image Classification'}",https://paperswithcode.com/dataset/pavia-university
AFW,2014-08-06,1,9,9,9,9.0,9,9.0,9.0,9.0,1,{'Face Detection'},https://paperswithcode.com/dataset/afw
FFHQ 512 x 512,2016-09-15,1,13,13,13,13.0,9,9.0,9.0,9.0,4,"{'16x upscaling - Face Hallucination', 'Image Inpainting', '4x upscaling - Image Super-Resolution', 'Image Generation'}",
HMDB51 (finetuned),2018-06-30,1,12,12,12,12.0,9,9.0,9.0,9.0,1,{'Self-Supervised Action Recognition'},
Penn Action,2016-03-13,1,12,12,12,12.0,9,9.0,9.0,9.0,3,"{'Video Alignment', 'Skeleton Based Action Recognition', 'Pose Estimation'}",https://paperswithcode.com/dataset/penn-action
RVL-CDIP,2015-02-25,1,10,10,10,10.0,9,9.0,9.0,9.0,2,"{'Document Image Classification', 'Document Layout Analysis'}",https://paperswithcode.com/dataset/rvl-cdip
Synthetic Rain Datasets,2016-09-07,5,45,9,9,9.0,9,9.0,9.0,9.0,1,{'Single Image Deraining'},https://paperswithcode.com/dataset/synthetic-rain-datasets
DES,2019-06-01,1,10,10,10,10.0,9,9.0,9.0,9.0,1,{'RGB-D Salient Object Detection'},https://paperswithcode.com/dataset/des
UCF101 (finetuned),2018-06-30,1,12,12,12,12.0,9,9.0,9.0,9.0,1,{'Self-Supervised Action Recognition'},
CUHK-PEDES,2018-08-05,1,9,9,9,9.0,9,9.0,9.0,9.0,1,{'Text based Person Retrieval'},https://paperswithcode.com/dataset/cuhk-pedes
NABirds,2017-05-22,1,9,9,9,9.0,9,9.0,9.0,9.0,1,{'Fine-Grained Image Classification'},https://paperswithcode.com/dataset/nabirds
ICDAR 2003,2015-07-21,1,9,9,9,9.0,9,9.0,9.0,9.0,1,{'Scene Text Recognition'},https://paperswithcode.com/dataset/icdar-2003
ImageNet-C,2018-11-29,1,27,27,27,27.0,9,9.0,9.0,9.0,2,"{'Unsupervised Domain Adaptation', 'Domain Generalization'}",https://paperswithcode.com/dataset/imagenet-c
Foggy Cityscapes,2018-03-08,2,12,6,6,6.0,9,6.0,6.0,6.0,3,"{'Image-to-Image Translation', 'Weakly Supervised Object Detection', 'Unsupervised Domain Adaptation'}",https://paperswithcode.com/dataset/foggy-cityscapes
HPatches,2015-06-25,1,11,11,11,11.0,9,9.0,9.0,9.0,3,"{'Image Stitching', 'Dense Pixel Correspondence Estimation', 'Patch Matching'}",https://paperswithcode.com/dataset/hpatches
Jester,2017-11-22,3,14,1,10,4.666666666666667,9,1.0,8.0,3.6666666666666665,3,"{'Hand Gesture Recognition', 'Action Recognition', 'Action Classification'}",https://paperswithcode.com/dataset/jester
YCB-Video,2017-11-01,1,15,15,15,15.0,9,9.0,9.0,9.0,4,"{'6D Pose Estimation using RGB', '6D Pose Estimation', '6D Pose Estimation using RGBD', 'Occluded 3D Object Symmetry Detection'}",https://paperswithcode.com/dataset/ycb-video
MARS,2017-03-22,1,15,15,15,15.0,9,9.0,9.0,9.0,1,{'Person Re-Identification'},https://paperswithcode.com/dataset/mars
SYSU 3D,2016-12-15,1,9,9,9,9.0,9,9.0,9.0,9.0,1,{'Skeleton Based Action Recognition'},
KITTI Depth Completion Validation,2017-03-13,1,9,9,9,9.0,9,9.0,9.0,9.0,1,{'Stereo-LiDAR Fusion'},
Toyota Smarthome dataset,2016-04-29,1,9,9,9,9.0,9,9.0,9.0,9.0,1,{'Action Classification'},https://paperswithcode.com/dataset/toyota-smarthome-dataset
Aesthetic Visual Analysis,2015-12-01,1,10,10,10,10.0,9,9.0,9.0,9.0,2,"{'Image Cropping', 'Aesthetics Quality Assessment'}",https://paperswithcode.com/dataset/aesthetic-visual-analysis
Campus,2014-06-01,1,9,9,9,9.0,9,9.0,9.0,9.0,1,{'3D Multi-Person Pose Estimation'},
Duke to MSMT,2017-11-23,1,9,9,9,9.0,9,9.0,9.0,9.0,1,{'Unsupervised Domain Adaptation'},
DUT-OMRON,2017-08-07,1,11,11,11,11.0,9,9.0,9.0,9.0,2,"{'Saliency Detection', 'RGB Salient Object Detection'}",https://paperswithcode.com/dataset/dut-omron
VOS-T,2014-06-01,1,9,9,9,9.0,9,9.0,9.0,9.0,1,{'Video Salient Object Detection'},
GTEA,2016-02-09,1,11,11,11,11.0,9,9.0,9.0,9.0,1,{'Action Segmentation'},https://paperswithcode.com/dataset/gtea
PCam,2015-12-10,1,16,16,16,16.0,9,9.0,9.0,9.0,2,"{'Image Compression', 'Breast Tumour Classification'}",https://paperswithcode.com/dataset/pcam
PASCAL-Part,2015-11-21,1,11,11,11,11.0,9,9.0,9.0,9.0,2,"{'Human Part Segmentation', 'Multi-Human Parsing'}",https://paperswithcode.com/dataset/pascal-person-part
LIP,2017-03-16,1,10,10,10,10.0,8,8.0,8.0,8.0,1,{'Semantic Segmentation'},https://paperswithcode.com/dataset/lip
EmoContext,2019-03-30,1,8,8,8,8.0,8,8.0,8.0,8.0,1,{'Emotion Recognition in Conversation'},https://paperswithcode.com/dataset/emocontext
LRS2,2018-09-06,1,10,10,10,10.0,8,8.0,8.0,8.0,2,"{'Lipreading', 'Unconstrained Lip-synchronization'}",https://paperswithcode.com/dataset/lrs2
ImageNet VID,2017-03-29,1,13,13,13,13.0,8,8.0,8.0,8.0,1,{'Video Object Detection'},
UVSD,2014-06-01,1,8,8,8,8.0,8,8.0,8.0,8.0,1,{'Video Salient Object Detection'},
DailyDialog,2019-09-24,1,9,9,9,9.0,8,8.0,8.0,8.0,1,{'Emotion Recognition in Conversation'},https://paperswithcode.com/dataset/dailydialog
HKU-IS,2019-03-01,1,10,10,10,10.0,8,8.0,8.0,8.0,3,"{'Saliency Detection', 'RGB Salient Object Detection', 'Salient Object Detection'}",https://paperswithcode.com/dataset/hku-is
VGGFace2,2015-11-14,1,8,8,8,8.0,8,8.0,8.0,8.0,2,"{'Facial Inpainting', '8x upscaling - Image Super-Resolution'}",https://paperswithcode.com/dataset/vggface2-1
GQA,2017-07-25,3,124,3,115,41.333333333333336,8,3.0,5.0,4.0,1,{'Visual Question Answering'},https://paperswithcode.com/dataset/gqa
DAVSOD-easy35,2014-06-01,1,8,8,8,8.0,8,8.0,8.0,8.0,1,{'Video Salient Object Detection'},
VQA-CP,2018-08-01,1,9,9,9,9.0,8,8.0,8.0,8.0,1,{'Visual Question Answering'},https://paperswithcode.com/dataset/vqa-cp
ScanObjectNN,2016-12-02,1,8,8,8,8.0,8,8.0,8.0,8.0,1,{'3D Point Cloud Classification'},https://paperswithcode.com/dataset/scanobjectnn
ECSSD,2019-03-01,1,9,9,9,9.0,8,8.0,8.0,8.0,3,"{'Saliency Detection', 'RGB Salient Object Detection', 'Salient Object Detection'}",https://paperswithcode.com/dataset/ecssd
EMNIST,2017-02-17,3,20,5,8,6.666666666666667,8,4.0,6.0,5.0,3,"{'Image Classification', 'Fine-Grained Image Classification', 'Image Clustering'}",https://paperswithcode.com/dataset/emnist
MAFL,2014-08-18,1,8,8,8,8.0,8,8.0,8.0,8.0,1,{'Unsupervised Facial Landmark Detection'},https://paperswithcode.com/dataset/mafl
Florence,2015-11-23,1,8,8,8,8.0,8,8.0,8.0,8.0,1,{'3D Face Reconstruction'},https://paperswithcode.com/dataset/florence
SoccerNet-v2,2018-04-12,2,18,7,11,9.0,8,1.0,7.0,4.0,4,"{'Action Spotting', 'Camera shot boundary detection', 'Replay Grounding', 'Camera shot segmentation'}",https://paperswithcode.com/dataset/soccernet-v2
MCL,2015-06-01,1,8,8,8,8.0,8,8.0,8.0,8.0,1,{'Video Salient Object Detection'},
Visual Question Answering,2015-11-07,2,13,6,7,6.5,8,6.0,7.0,6.5,1,{'Visual Question Answering'},https://paperswithcode.com/dataset/visual-question-answering
GrabCut,2016-03-13,1,10,10,10,10.0,8,8.0,8.0,8.0,1,{'Interactive Segmentation'},
VTAB-1k,2019-10-01,1,34,34,34,34.0,8,8.0,8.0,8.0,1,{'Image Classification'},
Indian Pines,2016-12-01,1,8,8,8,8.0,8,8.0,8.0,8.0,1,{'Hyperspectral Image Classification'},https://paperswithcode.com/dataset/indian-pines
Edge-to-Handbags,2016-11-21,1,8,8,8,8.0,8,8.0,8.0,8.0,2,"{'Image Reconstruction', 'Multimodal Unsupervised Image-To-Image Translation'}",
LaSOT,2018-11-19,1,8,8,8,8.0,8,8.0,8.0,8.0,1,{'Visual Object Tracking'},https://paperswithcode.com/dataset/lasot
Edge-to-Shoes,2016-11-21,1,8,8,8,8.0,8,8.0,8.0,8.0,2,"{'Image Reconstruction', 'Multimodal Unsupervised Image-To-Image Translation'}",
DAVSOD-Difficult20,2014-06-01,1,8,8,8,8.0,8,8.0,8.0,8.0,1,{'Video Salient Object Detection'},
ViSal,2014-06-01,1,8,8,8,8.0,8,8.0,8.0,8.0,1,{'Video Salient Object Detection'},
DAVSOD-Normal25,2014-06-01,1,8,8,8,8.0,8,8.0,8.0,8.0,1,{'Video Salient Object Detection'},
HIDE,2016-12-07,1,10,10,10,10.0,8,8.0,8.0,8.0,1,{'Deblurring'},https://paperswithcode.com/dataset/hide
Middlebury,2017-08-05,1,10,10,10,10.0,8,8.0,8.0,8.0,3,"{'4x upscaling - Image Super-Resolution', '2x upscaling - Image Super-Resolution', 'Video Frame Interpolation'}",https://paperswithcode.com/dataset/middlebury
Office-Caltech,2014-12-10,1,8,8,8,8.0,8,8.0,8.0,8.0,1,{'Domain Adaptation'},
PASCAL-S,2018-06-01,1,8,8,8,8.0,8,8.0,8.0,8.0,3,"{'RGB Salient Object Detection', 'Salient Object Detection', 'Saliency Detection'}",https://paperswithcode.com/dataset/pascal-s
RefCOCO,2018-01-24,6,47,7,9,7.833333333333333,8,7.0,8.0,7.5,1,{'Referring Expression Segmentation'},https://paperswithcode.com/dataset/refcoco
COFW,2018-02-19,1,9,9,9,9.0,8,8.0,8.0,8.0,1,{'Face Alignment'},https://paperswithcode.com/dataset/cofw
MSRA Hand,2017-02-08,1,8,8,8,8.0,8,8.0,8.0,8.0,1,{'Hand Pose Estimation'},https://paperswithcode.com/dataset/msra-hand
N-UCLA,2018-02-22,1,8,8,8,8.0,8,8.0,8.0,8.0,1,{'Skeleton Based Action Recognition'},
SBD,2015-11-24,1,9,9,9,9.0,8,8.0,8.0,8.0,2,"{'Interactive Segmentation', 'Edge Detection'}",https://paperswithcode.com/dataset/sbd
Breakfast,2019-03-05,1,11,11,11,11.0,8,8.0,8.0,8.0,1,{'Action Segmentation'},https://paperswithcode.com/dataset/breakfast
NoW Benchmark,2016-12-15,1,8,8,8,8.0,8,8.0,8.0,8.0,1,{'3D Face Reconstruction'},https://paperswithcode.com/dataset/now-benchmark
CACDVS,2013-06-01,1,9,9,9,9.0,8,8.0,8.0,8.0,1,{'Age-Invariant Face Recognition'},
Occlusion LineMOD,2018-03-31,1,8,8,8,8.0,8,8.0,8.0,8.0,1,{'6D Pose Estimation using RGB'},
CARPK,2015-06-04,1,9,9,9,9.0,8,8.0,8.0,8.0,1,{'Object Counting'},https://paperswithcode.com/dataset/carpk
50 Salads,2019-03-05,1,10,10,10,10.0,8,8.0,8.0,8.0,1,{'Action Segmentation'},https://paperswithcode.com/dataset/50-salads
CASIA-WebFace,2015-11-14,1,8,8,8,8.0,8,8.0,8.0,8.0,2,"{'Facial Inpainting', '8x upscaling - Image Super-Resolution'}",https://paperswithcode.com/dataset/casia-webface
YouTube,2016-06-01,1,8,8,8,8.0,8,8.0,8.0,8.0,2,"{'Unsupervised Video Object Segmentation', 'Semi-Supervised Video Object Segmentation'}",
CAMO,2019-06-01,1,9,9,9,9.0,7,7.0,7.0,7.0,1,{'Camouflaged Object Segmentation'},https://paperswithcode.com/dataset/camo
IJB-C,2015-03-12,1,7,7,7,7.0,7,7.0,7.0,7.0,1,{'Face Verification'},https://paperswithcode.com/dataset/ijb-c
LFSD,2019-06-01,1,8,8,8,8.0,7,7.0,7.0,7.0,1,{'RGB-D Salient Object Detection'},https://paperswithcode.com/dataset/lfsd
CAS-VSR-W1k (LRW-1000),2018-10-16,1,10,10,10,10.0,7,7.0,7.0,7.0,1,{'Lipreading'},https://paperswithcode.com/dataset/lrw-1000
SEMAINE,2017-07-01,1,7,7,7,7.0,7,7.0,7.0,7.0,1,{'Emotion Recognition in Conversation'},https://paperswithcode.com/dataset/semaine
PF-PASCAL,2018-10-24,1,7,7,7,7.0,7,7.0,7.0,7.0,1,{'Semantic correspondence'},https://paperswithcode.com/dataset/pf-pascal
Stanford Online Products,2019-12-01,1,7,7,7,7.0,7,7.0,7.0,7.0,1,{'Metric Learning'},https://paperswithcode.com/dataset/stanford-online-products
Fundus Fluorescein Angiogram Photographs & Colour Fundus Images of Diabetic Patients,2016-11-21,1,9,9,9,9.0,7,7.0,7.0,7.0,1,{'Fundus to Angiography Generation'},
Binarized MNIST,2013-10-07,1,8,8,8,8.0,7,7.0,7.0,7.0,1,{'Image Generation'},https://paperswithcode.com/dataset/binarized-mnist
COCO Captions,2019-08-30,3,7,1,5,2.3333333333333335,7,1.0,5.0,2.3333333333333335,2,"{'Text-Image Retrieval', 'Image Captioning'}",https://paperswithcode.com/dataset/coco-captions
YouCook2,2015-06-01,1,11,11,11,11.0,7,7.0,7.0,7.0,4,"{'Dense Video Captioning', 'Action Classification', 'Video Retrieval', 'Video Captioning'}",https://paperswithcode.com/dataset/youcook2
ISTD,2016-11-15,1,7,7,7,7.0,7,7.0,7.0,7.0,1,{'RGB Salient Object Detection'},https://paperswithcode.com/dataset/istd
SkyScapes-Dense,2014-11-14,1,7,7,7,7.0,7,7.0,7.0,7.0,1,{'Semantic Segmentation'},
OCT2017,2015-12-02,1,10,10,10,10.0,7,7.0,7.0,7.0,1,{'Retinal OCT Disease Classification'},
MOT15,2019-03-13,2,7,2,5,3.5,7,2.0,5.0,3.5,2,"{'Multi-Object Tracking', 'Online Multi-Object Tracking'}",https://paperswithcode.com/dataset/mot15
UCF,2016-11-15,1,7,7,7,7.0,7,7.0,7.0,7.0,1,{'RGB Salient Object Detection'},
Anatomical Tracings of Lesions After Stroke (ATLAS) ,2015-05-18,1,7,7,7,7.0,7,7.0,7.0,7.0,1,{'Lesion Segmentation'},
