dataset_label,paper,paper_label
LUMC,https://identifiers.org/ito:ITO_05699,Linking convolutional neural networks with graph convolutional networks: application in pulmonary artery-vein separation
SunYs,https://identifiers.org/ito:ITO_05702,Pulmonary Artery–Vein Classification in CT Images Using Deep Learning
SunYs,https://identifiers.org/ito:ITO_05699,Linking convolutional neural networks with graph convolutional networks: application in pulmonary artery-vein separation
CHASE_DB1,https://identifiers.org/ito:ITO_05496,U-Net: Convolutional Networks for Biomedical Image Segmentation
CHASE_DB1,https://identifiers.org/ito:ITO_05526,Road Extraction by Deep Residual U-Net
CHASE_DB1,https://identifiers.org/ito:ITO_05588,Recurrent Residual Convolutional Neural Network based on U-Net (R2U-Net) for Medical Image Segmentation
CHASE_DB1,https://identifiers.org/ito:ITO_05590,Deep Vessel Segmentation By Learning Graphical Connectivity
CHASE_DB1,https://identifiers.org/ito:ITO_05600,LadderNet: Multi-path networks based on U-Net for medical image segmentation
CHASE_DB1,https://identifiers.org/ito:ITO_05598,IterNet: Retinal Image Segmentation Utilizing Structural Redundancy in Vessel Networks
CHASE_DB1,https://identifiers.org/ito:ITO_23356,SA-UNet: Spatial Attention U-Net for Retinal Vessel Segmentation
CHASE_DB1,https://identifiers.org/ito:ITO_23352,RV-GAN: Segmenting Retinal Vascular Structure in Fundus Photographs using a Novel Multi-scale Generative Adversarial Network
CHASE_DB1,https://identifiers.org/ito:ITO_23354,Study Group Learning: Improving Retinal Vessel Segmentation Trained with Noisy Labels
STARE,https://identifiers.org/ito:ITO_05496,U-Net: Convolutional Networks for Biomedical Image Segmentation
STARE,https://identifiers.org/ito:ITO_05588,Recurrent Residual Convolutional Neural Network based on U-Net (R2U-Net) for Medical Image Segmentation
STARE,https://identifiers.org/ito:ITO_05526,Road Extraction by Deep Residual U-Net
STARE,https://identifiers.org/ito:ITO_23352,RV-GAN: Segmenting Retinal Vascular Structure in Fundus Photographs using a Novel Multi-scale Generative Adversarial Network
DRIVE,https://identifiers.org/ito:ITO_05495,CE-Net: Context Encoder Network for 2D Medical Image Segmentation
DRIVE,https://identifiers.org/ito:ITO_05602,ET-Net: A Generic Edge-aTtention Guidance Network for Medical Image Segmentation
DRIVE,https://identifiers.org/ito:ITO_23356,SA-UNet: Spatial Attention U-Net for Retinal Vessel Segmentation
DRIVE,https://identifiers.org/ito:ITO_23352,RV-GAN: Segmenting Retinal Vascular Structure in Fundus Photographs using a Novel Multi-scale Generative Adversarial Network
DRIVE,https://identifiers.org/ito:ITO_05496,U-Net: Convolutional Networks for Biomedical Image Segmentation
DRIVE,https://identifiers.org/ito:ITO_05526,Road Extraction by Deep Residual U-Net
DRIVE,https://identifiers.org/ito:ITO_05590,Deep Vessel Segmentation By Learning Graphical Connectivity
DRIVE,https://identifiers.org/ito:ITO_05598,IterNet: Retinal Image Segmentation Utilizing Structural Redundancy in Vessel Networks
HRF,https://identifiers.org/ito:ITO_05590,Deep Vessel Segmentation By Learning Graphical Connectivity
Automatic Cardiac Diagnosis Challenge (ACDC),https://identifiers.org/ito:ITO_47208,An Embarrassingly Simple Consistency Regularization Method for Semi-Supervised Medical Image Segmentation
MM-WHS 2017,https://identifiers.org/ito:ITO_47208,An Embarrassingly Simple Consistency Regularization Method for Semi-Supervised Medical Image Segmentation
ISIC 2017,https://identifiers.org/ito:ITO_47201,MFSNet: A Multi Focus Segmentation Network for Skin Lesion Segmentation
SUN-SEG-Easy,https://identifiers.org/ito:ITO_10400,UNet++: A Nested U-Net Architecture for Medical Image Segmentation
SUN-SEG-Hard (Unseen),https://identifiers.org/ito:ITO_05496,U-Net: Convolutional Networks for Biomedical Image Segmentation
SUN-SEG-Hard (Unseen),https://identifiers.org/ito:ITO_16243,"See More, Know More: Unsupervised Video Object Segmentation with Co-Attention Siamese Networks"
SUN-SEG-Hard (Unseen),https://identifiers.org/ito:ITO_24370,MATNet: Motion-Attentive Transition Network for Zero-Shot Video Object Segmentation
SUN-SEG-Hard (Unseen),https://identifiers.org/ito:ITO_47230,Video Polyp Segmentation: A Deep Learning Perspective
SUN-SEG-Hard (Unseen),https://identifiers.org/ito:ITO_10400,UNet++: A Nested U-Net Architecture for Medical Image Segmentation
SUN-SEG-Hard (Unseen),https://identifiers.org/ito:ITO_23201,PraNet: Parallel Reverse Attention Network for Polyp Segmentation
SUN-SEG-Hard (Unseen),https://identifiers.org/ito:ITO_47234,Progressively Normalized Self-Attention Network for Video Polyp Segmentation
SUN-SEG-Hard,https://identifiers.org/ito:ITO_10400,UNet++: A Nested U-Net Architecture for Medical Image Segmentation
SUN-SEG-Easy (Unseen),https://identifiers.org/ito:ITO_05496,U-Net: Convolutional Networks for Biomedical Image Segmentation
SUN-SEG-Easy (Unseen),https://identifiers.org/ito:ITO_16243,"See More, Know More: Unsupervised Video Object Segmentation with Co-Attention Siamese Networks"
SUN-SEG-Easy (Unseen),https://identifiers.org/ito:ITO_23201,PraNet: Parallel Reverse Attention Network for Polyp Segmentation
SUN-SEG-Easy (Unseen),https://identifiers.org/ito:ITO_24370,MATNet: Motion-Attentive Transition Network for Zero-Shot Video Object Segmentation
SUN-SEG-Easy (Unseen),https://identifiers.org/ito:ITO_47230,Video Polyp Segmentation: A Deep Learning Perspective
SUN-SEG-Easy (Unseen),https://identifiers.org/ito:ITO_10400,UNet++: A Nested U-Net Architecture for Medical Image Segmentation
SUN-SEG-Easy (Unseen),https://identifiers.org/ito:ITO_47234,Progressively Normalized Self-Attention Network for Video Polyp Segmentation
PH2,https://identifiers.org/ito:ITO_05691,Skin Lesion Segmentation using SegNet with Binary Cross-Entropy
Kaggle Skin Lesion Segmentation,https://identifiers.org/ito:ITO_05496,U-Net: Convolutional Networks for Biomedical Image Segmentation
Kaggle Skin Lesion Segmentation,https://identifiers.org/ito:ITO_05526,Road Extraction by Deep Residual U-Net
Kaggle Skin Lesion Segmentation,https://identifiers.org/ito:ITO_05588,Recurrent Residual Convolutional Neural Network based on U-Net (R2U-Net) for Medical Image Segmentation
PROMISE 2012,https://identifiers.org/ito:ITO_05684,V-Net: Fully Convolutional Neural Networks for Volumetric Medical Image Segmentation
Kumar,https://identifiers.org/ito:ITO_10174,Fully Convolutional Networks for Semantic Segmentation
Kumar,https://identifiers.org/ito:ITO_40661,Rotation equivariant vector field networks
Kumar,https://identifiers.org/ito:ITO_40647,Learning Steerable Filters for Rotation Equivariant CNNs
Kumar,https://identifiers.org/ito:ITO_40673,HoVer-Net: Simultaneous Segmentation and Classification of Nuclei in Multi-Tissue Histology Images
Kvasir-SEG,https://identifiers.org/ito:ITO_23203,ResUNet++: An Advanced Architecture for Medical Image Segmentation
Kvasir-SEG,https://identifiers.org/ito:ITO_47047,TGANet: Text-guided attention for improved polyp segmentation
OCT2017,https://identifiers.org/ito:ITO_03924,Deep Residual Learning for Image Recognition
OCT2017,https://identifiers.org/ito:ITO_23451,Xception: Deep Learning With Depthwise Separable Convolutions
OCT2017,https://identifiers.org/ito:ITO_23446,Optic-Net: A Novel Convolutional Neural Network for Diagnosis of Retinal Diseases from Optical Tomography Images
Srinivasan2014,https://identifiers.org/ito:ITO_03924,Deep Residual Learning for Image Recognition
Srinivasan2014,https://identifiers.org/ito:ITO_23451,Xception: Deep Learning With Depthwise Separable Convolutions
Srinivasan2014,https://identifiers.org/ito:ITO_23446,Optic-Net: A Novel Convolutional Neural Network for Diagnosis of Retinal Diseases from Optical Tomography Images
Cholec80,https://identifiers.org/ito:ITO_36500,EndoNet: A Deep Architecture for Recognition Tasks on Laparoscopic Videos
Cholec80,https://identifiers.org/ito:ITO_36498,Weakly-Supervised Learning for Tool Localization in Laparoscopic Videos
Cholec80,https://identifiers.org/ito:ITO_36495,Weakly Supervised Convolutional LSTM Approach for Tool Tracking in Laparoscopic Videos
Brain Anatomy US,https://identifiers.org/ito:ITO_47082,KiU-Net: Overcomplete Convolutional Architectures for Biomedical Image and Volumetric Segmentation
CelebA-Test,https://identifiers.org/ito:ITO_17819,DeblurGAN-v2: Deblurring (Orders-of-Magnitude) Faster and Better
CelebA-Test,https://identifiers.org/ito:ITO_62009,Progressive Semantic-Aware Style Transformation for Blind Face Restoration
CelebA-Test,https://identifiers.org/ito:ITO_43003,Towards Real-World Blind Face Restoration with Generative Facial Prior
CelebA-Test,https://identifiers.org/ito:ITO_18580,HiFaceGAN: Face Renovation via Collaborative Suppression and Replenishment
CelebA-Test,https://identifiers.org/ito:ITO_62011,Image Processing Using Multi-Code GAN Prior
CelebA-HQ,https://identifiers.org/ito:ITO_41764,GAN Prior Embedded Network for Blind Face Restoration in the Wild
RT-BENE,https://identifiers.org/ito:ITO_40720,RT-BENE: A Dataset and Baselines for Real-Time Blink Estimation in Natural Environments
Eyeblink8,https://identifiers.org/ito:ITO_40720,RT-BENE: A Dataset and Baselines for Real-Time Blink Estimation in Natural Environments
Researcher's Night,https://identifiers.org/ito:ITO_40720,RT-BENE: A Dataset and Baselines for Real-Time Blink Estimation in Natural Environments
NYU-Depth V2,https://identifiers.org/ito:ITO_42432,Inverted Pyramid Multi-task Transformer for Dense Scene Understanding
Kinetics-400,https://identifiers.org/ito:ITO_29257,Generic Event Boundary Detection Challenge at CVPR 2021 Technical Report: Cascaded Temporal Attention Network (CASTANET)
PASCAL Context,https://identifiers.org/ito:ITO_42432,Inverted Pyramid Multi-task Transformer for Dense Scene Understanding
Aachen Day-Night benchmark,https://identifiers.org/ito:ITO_12225,R2D2: Reliable and Repeatable Detector and Descriptor
Aachen Day-Night benchmark,https://identifiers.org/ito:ITO_54545,Decoupling Makes Weakly Supervised Local Feature Better
DSIFN-CD,https://identifiers.org/ito:ITO_62677,A Transformer-Based Siamese Network for Change Detection
LEVIR-CD,https://identifiers.org/ito:ITO_54560,Change is Everywhere: Single-Temporal Supervised Object Change Detection in Remote Sensing Imagery
LEVIR-CD,https://identifiers.org/ito:ITO_62677,A Transformer-Based Siamese Network for Change Detection
LEVIR-CD - 20% labeled data,https://identifiers.org/ito:ITO_62683,Revisiting Consistency Regularization for Semi-supervised Change Detection in Remote Sensing Images
WHU - 40% labeled data,https://identifiers.org/ito:ITO_62683,Revisiting Consistency Regularization for Semi-supervised Change Detection in Remote Sensing Images
WHU - 10% labeled data,https://identifiers.org/ito:ITO_62683,Revisiting Consistency Regularization for Semi-supervised Change Detection in Remote Sensing Images
LEVIR-CD - 5% labeled data,https://identifiers.org/ito:ITO_62683,Revisiting Consistency Regularization for Semi-supervised Change Detection in Remote Sensing Images
WHU - 5% labeled data,https://identifiers.org/ito:ITO_62683,Revisiting Consistency Regularization for Semi-supervised Change Detection in Remote Sensing Images
LEVIR-CD - 10% labeled data,https://identifiers.org/ito:ITO_62683,Revisiting Consistency Regularization for Semi-supervised Change Detection in Remote Sensing Images
WHU - 20% labeled data,https://identifiers.org/ito:ITO_62683,Revisiting Consistency Regularization for Semi-supervised Change Detection in Remote Sensing Images
BiasBios,https://identifiers.org/ito:ITO_62712,End-to-End Weak Supervision
ISIC 2019,https://identifiers.org/ito:ITO_60994,CASS: Cross Architectural Self-Supervision for Medical Image Analysis
Burr classification images,https://identifiers.org/ito:ITO_62717,Burr detection and classification using RUSTICO and image processing
Brain Tumor MRI Dataset,https://identifiers.org/ito:ITO_60994,CASS: Cross Architectural Self-Supervision for Medical Image Analysis
SGD,https://identifiers.org/ito:ITO_45286,A Sequence-to-Sequence Approach to Dialogue State Tracking
Autoimmune Dataset,https://identifiers.org/ito:ITO_60994,CASS: Cross Architectural Self-Supervision for Medical Image Analysis
CWRU Bearing Dataset,https://identifiers.org/ito:ITO_62729,FaultNet: A Deep Convolutional Neural Network for bearing fault classification
N-CARS,https://identifiers.org/ito:ITO_56955,Object Detection with Spiking Neural Networks on Automotive Event Data
ImageNet val,https://identifiers.org/ito:ITO_03934,Image-to-Image Translation with Conditional Adversarial Networks
Set11 cs=50%,https://identifiers.org/ito:ITO_40549,AMPA-Net: Optimization-Inspired Attention Neural Network for Deep Compressed Sensing
BSD68 CS=50%,https://identifiers.org/ito:ITO_40549,AMPA-Net: Optimization-Inspired Attention Neural Network for Deep Compressed Sensing
Urban100 - 2x upscaling,https://identifiers.org/ito:ITO_40549,AMPA-Net: Optimization-Inspired Attention Neural Network for Deep Compressed Sensing
BSDS100 - 2x upscaling,https://identifiers.org/ito:ITO_40549,AMPA-Net: Optimization-Inspired Attention Neural Network for Deep Compressed Sensing
cifar100,https://identifiers.org/ito:ITO_40498,Learning without Forgetting
cifar100,https://identifiers.org/ito:ITO_40848,iCaRL: Incremental Classifier and Representation Learning
cifar100,https://identifiers.org/ito:ITO_37419,Supervised Contrastive Learning
cifar100,https://identifiers.org/ito:ITO_61060,Split-and-Bridge: Adaptable Class Incremental Learning within a Single Neural Network
cifar100,https://identifiers.org/ito:ITO_61058,An Incremental Learning Approach for Sustainable Region Isolation and Integration
F-CelebA (10 tasks),https://identifiers.org/ito:ITO_61005,Overcoming catastrophic forgetting in neural networks
F-CelebA (10 tasks),https://identifiers.org/ito:ITO_61002,Continual Learning of a Mixed Sequence of Similar and Dissimilar Tasks
Permuted MNIST,https://identifiers.org/ito:ITO_40511,Understanding Catastrophic Forgetting and Remembering in Continual Learning with Optimal Relevance Mapping
Coarse-CIFAR100,https://identifiers.org/ito:ITO_61015,"Model Zoo: A Growing ""Brain"" That Learns Continually"
DSC (10 tasks),https://identifiers.org/ito:ITO_61005,Overcoming catastrophic forgetting in neural networks
DSC (10 tasks),https://identifiers.org/ito:ITO_61011,Overcoming catastrophic forgetting with hard attention to the task
DSC (10 tasks),https://identifiers.org/ito:ITO_61020,Achieving Forgetting Prevention and Knowledge Transfer in Continual Learning
visual domain decathlon (10 tasks),https://identifiers.org/ito:ITO_40498,Learning without Forgetting
visual domain decathlon (10 tasks),https://identifiers.org/ito:ITO_40494,Incremental Learning Through Deep Adaptation
visual domain decathlon (10 tasks),https://identifiers.org/ito:ITO_40489,Efficient parametrization of multi-domain deep neural networks
visual domain decathlon (10 tasks),https://identifiers.org/ito:ITO_40485,"NetTailor: Tuning the Architecture, Not Just the Weights"
visual domain decathlon (10 tasks),https://identifiers.org/ito:ITO_40493,Learning multiple visual domains with residual adapters
visual domain decathlon (10 tasks),https://identifiers.org/ito:ITO_40487,Depthwise Convolution is All You Need for Learning Multiple Visual Domains
20Newsgroup (10 tasks),https://identifiers.org/ito:ITO_61005,Overcoming catastrophic forgetting in neural networks
20Newsgroup (10 tasks),https://identifiers.org/ito:ITO_61011,Overcoming catastrophic forgetting with hard attention to the task
20Newsgroup (10 tasks),https://identifiers.org/ito:ITO_61020,Achieving Forgetting Prevention and Knowledge Transfer in Continual Learning
Rotated MNIST,https://identifiers.org/ito:ITO_61015,"Model Zoo: A Growing ""Brain"" That Learns Continually"
Sketch (Fine-grained 6 Tasks),https://identifiers.org/ito:ITO_40473,Progressive Neural Networks
Sketch (Fine-grained 6 Tasks),https://identifiers.org/ito:ITO_40475,Piggyback: Adapting a Single Network to Multiple Tasks by Learning to Mask Weights
Sketch (Fine-grained 6 Tasks),https://identifiers.org/ito:ITO_18966,"Compacting, Picking and Growing for Unforgetting Continual Learning"
Sketch (Fine-grained 6 Tasks),https://identifiers.org/ito:ITO_40471,EXTENDING CONDITIONAL CONVOLUTION STRUCTURES FOR ENHANCING MULTITASKING CONTINUAL LEARNING
ASC (19 tasks),https://identifiers.org/ito:ITO_61005,Overcoming catastrophic forgetting in neural networks
ASC (19 tasks),https://identifiers.org/ito:ITO_61011,Overcoming catastrophic forgetting with hard attention to the task
ASC (19 tasks),https://identifiers.org/ito:ITO_61037,Continual Learning of Context-dependent Processing in Neural Networks
ASC (19 tasks),https://identifiers.org/ito:ITO_61030,LAMOL: LAnguage MOdeling for Lifelong Language Learning
ASC (19 tasks),https://identifiers.org/ito:ITO_61020,Achieving Forgetting Prevention and Knowledge Transfer in Continual Learning
Flowers (Fine-grained 6 Tasks),https://identifiers.org/ito:ITO_40473,Progressive Neural Networks
Flowers (Fine-grained 6 Tasks),https://identifiers.org/ito:ITO_40475,Piggyback: Adapting a Single Network to Multiple Tasks by Learning to Mask Weights
Flowers (Fine-grained 6 Tasks),https://identifiers.org/ito:ITO_18966,"Compacting, Picking and Growing for Unforgetting Continual Learning"
Flowers (Fine-grained 6 Tasks),https://identifiers.org/ito:ITO_40471,EXTENDING CONDITIONAL CONVOLUTION STRUCTURES FOR ENHANCING MULTITASKING CONTINUAL LEARNING
ImageNet-50 (5 tasks) ,https://identifiers.org/ito:ITO_40530,Learning to Remember: A Synaptic Plasticity Driven Framework for Continual Learning
ImageNet-50 (5 tasks) ,https://identifiers.org/ito:ITO_40528,Conditional Channel Gated Networks for Task-Aware Continual Learning
ImageNet-50 (5 tasks) ,https://identifiers.org/ito:ITO_40471,EXTENDING CONDITIONAL CONVOLUTION STRUCTURES FOR ENHANCING MULTITASKING CONTINUAL LEARNING
ImageNet-50 (5 tasks) ,https://identifiers.org/ito:ITO_40511,Understanding Catastrophic Forgetting and Remembering in Continual Learning with Optimal Relevance Mapping
Stanford Cars (Fine-grained 6 Tasks),https://identifiers.org/ito:ITO_40473,Progressive Neural Networks
Stanford Cars (Fine-grained 6 Tasks),https://identifiers.org/ito:ITO_40475,Piggyback: Adapting a Single Network to Multiple Tasks by Learning to Mask Weights
Stanford Cars (Fine-grained 6 Tasks),https://identifiers.org/ito:ITO_18966,"Compacting, Picking and Growing for Unforgetting Continual Learning"
Cifar100 (10 tasks),https://identifiers.org/ito:ITO_40511,Understanding Catastrophic Forgetting and Remembering in Continual Learning with Optimal Relevance Mapping
Cifar100 (20 tasks),https://identifiers.org/ito:ITO_40477,PackNet: Adding Multiple Tasks to a Single Network by Iterative Pruning
Cifar100 (20 tasks),https://identifiers.org/ito:ITO_18958,Increasingly Packing Multiple Facial-Informatics Modules in A Unified Deep-Learning Model via Lifelong Learning
Cifar100 (20 tasks),https://identifiers.org/ito:ITO_18966,"Compacting, Picking and Growing for Unforgetting Continual Learning"
Cifar100 (20 tasks),https://identifiers.org/ito:ITO_40511,Understanding Catastrophic Forgetting and Remembering in Continual Learning with Optimal Relevance Mapping
Cifar100 (20 tasks),https://identifiers.org/ito:ITO_61015,"Model Zoo: A Growing ""Brain"" That Learns Continually"
Wikiart (Fine-grained 6 Tasks),https://identifiers.org/ito:ITO_40473,Progressive Neural Networks
Wikiart (Fine-grained 6 Tasks),https://identifiers.org/ito:ITO_18966,"Compacting, Picking and Growing for Unforgetting Continual Learning"
Wikiart (Fine-grained 6 Tasks),https://identifiers.org/ito:ITO_40471,EXTENDING CONDITIONAL CONVOLUTION STRUCTURES FOR ENHANCING MULTITASKING CONTINUAL LEARNING
CUBS (Fine-grained 6 Tasks),https://identifiers.org/ito:ITO_40473,Progressive Neural Networks
CUBS (Fine-grained 6 Tasks),https://identifiers.org/ito:ITO_40477,PackNet: Adding Multiple Tasks to a Single Network by Iterative Pruning
CUBS (Fine-grained 6 Tasks),https://identifiers.org/ito:ITO_40475,Piggyback: Adapting a Single Network to Multiple Tasks by Learning to Mask Weights
ImageNet (Fine-grained 6 Tasks),https://identifiers.org/ito:ITO_40473,Progressive Neural Networks
Inverted Pendulum (system identifications),https://identifiers.org/ito:ITO_12430,Benchmarking Deep Reinforcement Learning for Continuous Control
Full Humanoid,https://identifiers.org/ito:ITO_12430,Benchmarking Deep Reinforcement Learning for Continuous Control
Ant,https://identifiers.org/ito:ITO_12430,Benchmarking Deep Reinforcement Learning for Continuous Control
walker.stand,https://identifiers.org/ito:ITO_32336,Learning and Planning in Complex Action Spaces
Double Inverted Pendulum,https://identifiers.org/ito:ITO_12430,Benchmarking Deep Reinforcement Learning for Continuous Control
Mountain Car (limited sensors),https://identifiers.org/ito:ITO_12430,Benchmarking Deep Reinforcement Learning for Continuous Control
PyBullet HalfCheetah,https://identifiers.org/ito:ITO_32357,Smooth Exploration for Robotic Reinforcement Learning
finger.turn_hard,https://identifiers.org/ito:ITO_32336,Learning and Planning in Complex Action Spaces
fish.swim,https://identifiers.org/ito:ITO_32338,Online and Offline Reinforcement Learning by Planning with a Learned Model
DeepMind Cheetah Run (Images),https://identifiers.org/ito:ITO_12443,Learning Latent Dynamics for Planning from Pixels
DeepMind Cheetah Run (Images),https://identifiers.org/ito:ITO_32384,Image Augmentation Is All You Need: Regularizing Deep Reinforcement Learning from Pixels
cartpole.swingup,https://identifiers.org/ito:ITO_32336,Learning and Planning in Complex Action Spaces
Cart-Pole Balancing (limited sensors),https://identifiers.org/ito:ITO_12430,Benchmarking Deep Reinforcement Learning for Continuous Control
Swimmer,https://identifiers.org/ito:ITO_12430,Benchmarking Deep Reinforcement Learning for Continuous Control
humanoid.run,https://identifiers.org/ito:ITO_32338,Online and Offline Reinforcement Learning by Planning with a Learned Model
quadruped.run,https://identifiers.org/ito:ITO_32336,Learning and Planning in Complex Action Spaces
Acrobot (limited sensors),https://identifiers.org/ito:ITO_12430,Benchmarking Deep Reinforcement Learning for Continuous Control
2D Walker,https://identifiers.org/ito:ITO_12430,Benchmarking Deep Reinforcement Learning for Continuous Control
Lunar Lander (OpenAI Gym),https://identifiers.org/ito:ITO_12470,Mean Actor Critic
"Finger, spin (DMControl500k)",https://identifiers.org/ito:ITO_32332,CURL: Contrastive Unsupervised Representations for Reinforcement Learning
"Finger, spin (DMControl100k)",https://identifiers.org/ito:ITO_32332,CURL: Contrastive Unsupervised Representations for Reinforcement Learning
Mountain Car,https://identifiers.org/ito:ITO_12430,Benchmarking Deep Reinforcement Learning for Continuous Control
"Cheetah, run (DMControl100k)",https://identifiers.org/ito:ITO_32332,CURL: Contrastive Unsupervised Representations for Reinforcement Learning
manipulator.insert_ball,https://identifiers.org/ito:ITO_32338,Online and Offline Reinforcement Learning by Planning with a Learned Model
Simple Humanoid,https://identifiers.org/ito:ITO_12430,Benchmarking Deep Reinforcement Learning for Continuous Control
"Cheetah, run (DMControl500k)",https://identifiers.org/ito:ITO_32332,CURL: Contrastive Unsupervised Representations for Reinforcement Learning
Acrobot (noisy observations),https://identifiers.org/ito:ITO_12430,Benchmarking Deep Reinforcement Learning for Continuous Control
pendulum.swingup,https://identifiers.org/ito:ITO_32336,Learning and Planning in Complex Action Spaces
Acrobot (system identifications),https://identifiers.org/ito:ITO_12430,Benchmarking Deep Reinforcement Learning for Continuous Control
"Ball in cup, catch (DMControl100k)",https://identifiers.org/ito:ITO_32332,CURL: Contrastive Unsupervised Representations for Reinforcement Learning
Cart-Pole Balancing,https://identifiers.org/ito:ITO_12430,Benchmarking Deep Reinforcement Learning for Continuous Control
"Cartpole, swingup (DMControl100k)",https://identifiers.org/ito:ITO_32332,CURL: Contrastive Unsupervised Representations for Reinforcement Learning
walker.run,https://identifiers.org/ito:ITO_32336,Learning and Planning in Complex Action Spaces
quadruped.walk,https://identifiers.org/ito:ITO_32336,Learning and Planning in Complex Action Spaces
"Walker, walk (DMControl500k)",https://identifiers.org/ito:ITO_32332,CURL: Contrastive Unsupervised Representations for Reinforcement Learning
hopper.hop,https://identifiers.org/ito:ITO_32336,Learning and Planning in Complex Action Spaces
acrobot.swingup,https://identifiers.org/ito:ITO_32336,Learning and Planning in Complex Action Spaces
cartpole.balance,https://identifiers.org/ito:ITO_32336,Learning and Planning in Complex Action Spaces
finger.spin,https://identifiers.org/ito:ITO_32336,Learning and Planning in Complex Action Spaces
PyBullet Ant,https://identifiers.org/ito:ITO_32357,Smooth Exploration for Robotic Reinforcement Learning
Acrobot,https://identifiers.org/ito:ITO_12430,Benchmarking Deep Reinforcement Learning for Continuous Control
reacher.hard,https://identifiers.org/ito:ITO_32336,Learning and Planning in Complex Action Spaces
PyBullet Walker2D,https://identifiers.org/ito:ITO_32357,Smooth Exploration for Robotic Reinforcement Learning
Hopper,https://identifiers.org/ito:ITO_12430,Benchmarking Deep Reinforcement Learning for Continuous Control
Half-Cheetah,https://identifiers.org/ito:ITO_12430,Benchmarking Deep Reinforcement Learning for Continuous Control
manipulator.insert_peg,https://identifiers.org/ito:ITO_32338,Online and Offline Reinforcement Learning by Planning with a Learned Model
ball_in_cup.catch,https://identifiers.org/ito:ITO_32336,Learning and Planning in Complex Action Spaces
Inverted Pendulum,https://identifiers.org/ito:ITO_12430,Benchmarking Deep Reinforcement Learning for Continuous Control
cartpole.balance_sparse,https://identifiers.org/ito:ITO_32336,Learning and Planning in Complex Action Spaces
hopper.stand,https://identifiers.org/ito:ITO_32336,Learning and Planning in Complex Action Spaces
Inverted Pendulum (limited sensors),https://identifiers.org/ito:ITO_12430,Benchmarking Deep Reinforcement Learning for Continuous Control
Ant + Gathering,https://identifiers.org/ito:ITO_12430,Benchmarking Deep Reinforcement Learning for Continuous Control
Inverted Pendulum (noisy observations),https://identifiers.org/ito:ITO_12430,Benchmarking Deep Reinforcement Learning for Continuous Control
Cart-Pole Balancing (noisy observations),https://identifiers.org/ito:ITO_12430,Benchmarking Deep Reinforcement Learning for Continuous Control
walker.walk,https://identifiers.org/ito:ITO_32336,Learning and Planning in Complex Action Spaces
Mountain Car (system identifications),https://identifiers.org/ito:ITO_12430,Benchmarking Deep Reinforcement Learning for Continuous Control
"Reacher, easy (DMControl100k)",https://identifiers.org/ito:ITO_32332,CURL: Contrastive Unsupervised Representations for Reinforcement Learning
"Cartpole, swingup (DMControl500k)",https://identifiers.org/ito:ITO_32332,CURL: Contrastive Unsupervised Representations for Reinforcement Learning
cartpole.swingup_sparse,https://identifiers.org/ito:ITO_32336,Learning and Planning in Complex Action Spaces
PyBullet Hopper,https://identifiers.org/ito:ITO_32357,Smooth Exploration for Robotic Reinforcement Learning
Cart Pole (OpenAI Gym),https://identifiers.org/ito:ITO_12470,Mean Actor Critic
Cart-Pole Balancing (system identifications),https://identifiers.org/ito:ITO_12430,Benchmarking Deep Reinforcement Learning for Continuous Control
reacher.easy,https://identifiers.org/ito:ITO_32336,Learning and Planning in Complex Action Spaces
"Reacher, easy (DMControl500k)",https://identifiers.org/ito:ITO_32332,CURL: Contrastive Unsupervised Representations for Reinforcement Learning
Mountain Car (noisy observations),https://identifiers.org/ito:ITO_12430,Benchmarking Deep Reinforcement Learning for Continuous Control
DeepMind Walker Walk (Images),https://identifiers.org/ito:ITO_12443,Learning Latent Dynamics for Planning from Pixels
DeepMind Walker Walk (Images),https://identifiers.org/ito:ITO_32384,Image Augmentation Is All You Need: Regularizing Deep Reinforcement Learning from Pixels
"Ball in cup, catch (DMControl500k)",https://identifiers.org/ito:ITO_32332,CURL: Contrastive Unsupervised Representations for Reinforcement Learning
finger.turn_easy,https://identifiers.org/ito:ITO_32336,Learning and Planning in Complex Action Spaces
"Walker, walk (DMControl100k)",https://identifiers.org/ito:ITO_32332,CURL: Contrastive Unsupervised Representations for Reinforcement Learning
cheetah.run,https://identifiers.org/ito:ITO_32336,Learning and Planning in Complex Action Spaces
DeepMind Cup Catch (Images),https://identifiers.org/ito:ITO_12443,Learning Latent Dynamics for Planning from Pixels
DeepMind Cup Catch (Images),https://identifiers.org/ito:ITO_32384,Image Augmentation Is All You Need: Regularizing Deep Reinforcement Learning from Pixels
Udacity,https://identifiers.org/ito:ITO_12504,Learning to Steer by Mimicking Features from Heterogeneous Auxiliary Networks
BDD100K,https://identifiers.org/ito:ITO_12504,Learning to Steer by Mimicking Features from Heterogeneous Auxiliary Networks
Comma.ai,https://identifiers.org/ito:ITO_12504,Learning to Steer by Mimicking Features from Heterogeneous Auxiliary Networks
FB15k,https://identifiers.org/ito:ITO_34632,Knowledge Graph Embedding with Atrous Convolution and Residual Learning
2018 Syngenta (2016 val),https://identifiers.org/ito:ITO_62517,Crop Yield Prediction Using Deep Neural Networks
JHU-CROWD++,https://identifiers.org/ito:ITO_51183,Rethinking Spatial Invariance of Convolutional Networks for Object Counting
